OMOP	SPOKE
45588358	C3263723
45546177	C3263723
45594430	C3263723
45540504	C3263723
45539939	C3263723
45535618	C3263723
45579000	C3263723
45560516	C3263723
45554916	C3263723
45535039	C3263723
45573518	C3263723
45607411	C3263723
45554617	C3263723
45545266	C3263723
45535625	C3263723
45545346	C3263723
45583809	C3263723
45583568	C3263723
45574243	C3263723
45573901	C3263723
45573887	C3263723
45583518	C3263723
45602595	C3263723
45535650	C3263723
45598151	C3263723
45588435	C3263723
45554872	C3263723
45564502	C3263723
45588653	C3263723
45565466	C3263723
45588367	C3263723
45602884	C3263723
45568980	C3263723
45594439	C3263723
45589696	C3263723
45563785	C3263723
45574213	C3263723
45540440	C3263723
45554595	C3263723
45558950	C3263723
45559376	C3263723
45559129	C3263723
45569346	C3263723
45599247	C3263723
45607689	C3263723
45578994	C3263723
45583798	C3263723
45560512	C3263723
45583311	C3263723
45583839	C3263723
45573888	C3263723
45564487	C3263723
45583864	C3263723
45564395	C3263723
45564228	C3263723
45540431	C3263723
45535640	C3263723
45554592	C3263723
45559655	C3263723
45563908	C3263723
45574260	C3263723
45559642	C3263723
45594559	C3263723
45535692	C3263723
45607967	C3263723
45535621	C3263723
45579912	C3263723
45554230	C3263723
45569357	C3263723
45564567	C3263723
45568720	C3263723
45545045	C3263723
45564519	C3263723
45594428	C3263723
45545012	C3263723
45573925	C3263723
45578373	C3263723
45583840	C3263723
45574255	C3263723
45598441	C3263723
45568608	C3263723
45578374	C3263723
45560513	C3263723
45554856	C3263723
45607407	C3263723
45579915	C3263723
45594444	C3263723
45593587	C3263723
45598391	C3263723
45569316	C3263723
45602488	C3263723
45589695	C3263723
45540457	C3263723
45536530	C3263723
45579010	C3263723
45563777	C3263723
45574233	C3263723
45559634	C3263723
45554368	C3263723
45559377	C3263723
45555771	C3263723
45569336	C3263723
45540539	C3263723
45568611	C3263723
45569342	C3263723
45588681	C3263723
45563939	C3263723
45602872	C3263723
45569009	C3263723
45597660	C3263723
45540547	C3263723
45545002	C3263723
45535686	C3263723
45541330	C3263723
45575091	C3263723
45565361	C3263723
45593270	C3263723
45550088	C3263723
45574194	C3263723
45578932	C3263723
45602879	C3263723
45568760	C3263723
45559627	C3263723
45540197	C3263723
45564483	C3263723
45565357	C3263723
45583557	C3263723
45540438	C3263723
45593530	C3263723
45564164	C3263723
